Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
D,470,Diop,4.3,4.3,Fulham,0,0.0,82,3.197,80,3.381,79,3.293,80,2.652,78,2.831,77,3.321,76,3.207,77,3.417
D,410,Bednarek,4.2,4.2,Southampton,83,2.696,80,2.841,78,1.846,77,3.744,76,1.918,75,3.58,72,2.338,72,3.172,73,3.161
F,191,Calvert-Lewin,7.9,7.9,Everton,47,1.548,79,3.129,75,2.968,73,3.048,72,3.01,71,2.85,72,3.003,74,2.844,73,2.763
M,534,McNeil,5.1,5.1,Everton,79,3.001,76,2.98,75,2.674,74,3.0,73,2.874,73,2.714,75,2.892,73,2.534,73,2.473
D,329,Varane,4.8,4.8,Man Utd,0,0.0,70,5.682,68,3.539,68,3.33,67,0.619,64,2.115,64,4.414,65,2.544,62,2.782
M,186,Iwobi,5.3,5.3,Everton,82,2.865,77,2.88,76,2.694,75,2.917,74,2.894,73,2.661,72,2.753,72,2.494,70,2.401
D,482,Semedo,5.0,5.0,Wolves,81,3.201,77,3.28,76,2.794,75,2.62,72,2.441,72,3.481,72,1.971,69,2.768,71,1.958
M,171,Olise,5.4,5.4,Crystal Palace,69,2.652,68,3.046,63,2.58,65,2.903,65,2.884,64,2.65,63,2.556,62,2.308,63,2.753
M,582,Freuler,4.9,4.9,Nott'm Forest,82,2.504,77,5.256,76,2.469,74,2.334,75,2.236,75,2.324,73,2.315,72,2.602,72,2.275
M,120,Caicedo,5.0,5.0,Brighton,0,0.0,82,5.245,73,2.578,68,2.888,66,0.019,72,2.633,74,5.007,75,3.162,76,2.732
M,387,Yates,5.0,5.0,Nott'm Forest,75,2.606,71,5.451,67,2.349,67,2.273,68,2.246,66,2.208,67,2.317,67,2.625,65,2.177
D,409,Walker-Peters,4.4,4.4,Southampton,71,2.506,78,2.872,75,1.806,70,3.479,73,1.909,71,3.427,72,2.328,69,3.1,67,2.802
D,199,Tarkowski,4.3,4.3,Everton,86,2.718,83,2.81,81,2.242,78,3.369,77,3.311,77,2.835,77,2.776,75,2.041,77,1.801
M,88,Jensen,4.8,4.8,Brentford,67,2.745,66,4.747,63,2.252,63,2.429,64,2.465,64,2.302,61,2.297,63,2.088,63,2.408
M,53,Kamara,4.8,4.8,Aston Villa,6,1.008,73,4.811,76,2.858,77,2.568,75,2.398,76,2.703,74,2.335,75,2.596,73,2.431
M,305,Grealish,6.8,6.8,Man City,0,0.0,66,2.95,64,3.18,60,2.597,62,0.026,64,2.785,63,5.908,64,3.254,61,3.003
D,217,Robinson,4.4,4.4,Fulham,0,0.0,81,3.002,77,3.17,76,3.058,77,2.49,77,2.637,76,3.025,76,2.998,75,3.112
F,411,Adams,6.1,6.1,Southampton,72,3.061,69,3.097,67,2.536,64,2.622,63,2.322,62,2.642,63,2.433,62,2.595,60,2.131
M,715,Tetê,5.4,5.4,Leicester,61,2.589,58,4.829,60,2.615,59,2.126,57,2.322,59,2.391,56,2.345,57,2.276,54,1.927
D,510,Hickey,4.9,4.9,Brentford,71,2.834,69,3.791,66,2.395,68,2.79,67,2.696,64,1.946,65,3.055,63,1.54,63,2.362
D,576,Senesi,4.4,4.4,Bournemouth,69,2.559,67,4.956,68,2.436,63,1.804,64,2.406,73,3.124,63,2.284,60,1.831,59,2.004
M,468,Soucek,5.1,5.1,West Ham,0,0.0,65,5.161,64,2.4,67,2.379,64,2.476,63,2.14,64,4.333,64,2.307,62,2.201
D,215,Tete,4.4,4.4,Fulham,0,0.0,77,3.089,76,3.211,73,3.016,73,2.392,75,2.588,72,3.0,71,2.884,70,3.087
M,6,Partey,4.7,4.7,Arsenal,73,3.233,71,3.012,70,2.607,68,2.774,64,2.557,65,2.132,64,2.322,65,2.349,64,2.203
D,256,Ricardo,4.3,4.3,Leicester,76,2.75,69,6.396,64,3.138,59,1.402,59,2.269,57,1.853,57,2.194,53,1.556,57,1.543
D,463,Coufal,4.1,4.1,West Ham,0,0.0,64,5.55,63,2.4,63,1.862,65,2.779,65,1.959,63,3.958,62,1.964,62,1.963
