,code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,fbref,understat,transfermarkt,23-24,Unnamed: 0
159,122798,Andrew,Robertson,Robertson,152.0,475.0,247.0,181.0,255.0,234.0,284.0,2e4f5f03,1688.0,234803.0,307.0,
160,122806,John,McGinn,McGinn,,,,31.0,38.0,35.0,37.0,90f91999,7723.0,193116.0,50.0,
161,123354,Kortney,Hause,Hause,,,525.0,25.0,39.0,36.0,38.0,bf8fad51,6859.0,233124.0,45.0,
162,124183,Hakim,Ziyech,Ziyech,,,,,114.0,131.0,135.0,6622454d,8992.0,217111.0,218.0,
163,126184,Nathan,Aké,Aké,36.0,38.0,31.0,59.0,279.0,258.0,308.0,eaeca114,579.0,177476.0,342.0,
164,128295,Christian,Nørgaard,Nørgaard,,,,,,77.0,79.0,df0a4c90,7083.0,148367.0,110.0,
165,128309,Jamal,Lowe,Lowe,,,,,,,61.0,b2856bc0,10865.0,239949.0,73.0,
166,128340,Kieffer,Moore,Moore,,,,,,,62.0,01ce9e70,10743.0,275590.0,76.0,
167,128389,Aleksandar,Mitrović,Mitrović,,303.0,480.0,,184.0,,210.0,3925dbd6,773.0,51152.0,278.0,
168,132015,Pierre-Emile,Højbjerg,Højbjerg,312.0,321.0,340.0,325.0,396.0,365.0,433.0,8b04d6c1,343.0,167799.0,499.0,
169,133845,Emiliano,Marcondes,Marcondes,,,,,,,63.0,4d960fc3,10745.0,232964.0,74.0,
170,140200,Thomas,Strakosha,Strakosha,,,,,,,517.0,339fe0e8,1214.0,222209.0,116.0,
171,141746,Bruno,Borges Fernandes,Fernandes,,,,618.0,302.0,277.0,333.0,507c7bdf,1228.0,240306.0,373.0,
172,144485,Ivan,Toney,Toney,,,,,,78.0,80.0,e09f279b,998.0,251664.0,117.0,
173,146941,Aymeric,Laporte,Laporte,,612.0,268.0,202.0,280.0,259.0,309.0,119b9a8e,2498.0,176553.0,357.0,
174,148225,Anthony,Martial,Martial,267.0,280.0,301.0,239.0,303.0,278.0,345.0,8b788c01,553.0,182877.0,390.0,
175,149065,José,Malheiro de Sá,Sá,,,,,,475.0,478.0,903b6e8b,9740.0,249994.0,569.0,
176,149484,Tyrone,Mings,Mings,35.0,36.0,30.0,445.0,41.0,38.0,39.0,8397a50c,1024.0,253677.0,51.0,
177,149519,Maxwel,Cornet,Cornet,,,,,,578.0,575.0,beb391dd,3278.0,234781.0,527.0,
178,151086,Mario,Lemina,Lemina,,500.0,344.0,324.0,493.0,,698.0,2b471f99,1299.0,170934.0,565.0,
179,151589,Leander,Dendoncker,Dendoncker,,,519.0,420.0,464.0,434.0,479.0,5a7301ae,7236.0,168157.0,40.0,
180,152551,Jefferson,Lerma Solís,Lerma,,,494.0,82.0,,,64.0,9b5ce51a,2182.0,262980.0,231.0,
181,152590,Alex,Telles,Telles,,,,,568.0,279.0,334.0,e73c9bb2,1828.0,255755.0,370.0,
182,152760,Divock,Origi,Origi,217.0,238.0,543.0,188.0,256.0,235.0,,43a166b4,484.0,148368.0,714.0,
183,153127,Isaac,Hayden,Hayden,,496.0,323.0,271.0,336.0,306.0,,c951a6df,6062.0,206225.0,413.0,
184,153133,Alex,Iwobi,Iwobi,21.0,21.0,15.0,17.0,159.0,174.0,186.0,6ca5ec4b,500.0,242631.0,256.0,
185,153256,Mohamed,Elneny,Elneny,22.0,22.0,16.0,20.0,526.0,12.0,4.0,47a34c4f,496.0,160438.0,3.0,
186,153366,Harrison,Reed,Reed,307.0,,,,373.0,,211.0,803ae100,910.0,226973.0,282.0,
187,153682,Harry,Wilson,Wilson,653.0,,,505.0,257.0,,212.0,c6dc9ecd,5596.0,279455.0,288.0,
188,154296,João,Palhinha Gonçalves,Palhinha,,,,,,,220.0,a78ff07f,10715.0,257455.0,280.0,
189,154561,David,Raya Martin,Raya,,,,,,80.0,81.0,98ea5115,9676.0,262749.0,113.0,
190,154566,Dominic,Solanke,Solanke,590.0,239.0,259.0,69.0,,,66.0,e77dc3b2,1679.0,258889.0,85.0,
191,155197,Max,Lowe,Lowe,,,,,511.0,,,7af88b33,8918.0,258885.0,484.0,
192,155405,Kalvin,Phillips,Phillips,,,,,204.0,191.0,325.0,4f565d77,8719.0,351749.0,364.0,
