Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,368,Saint-Maximin,6.1,6.1,Newcastle,0,0.075,8,1.207,25,1.367,47,3.73,54,2.051,52,1.817
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,58,1.305,54,1.187,66,2.68,62,1.646,63,1.425,64,1.998
M,149,Gilmour,4.2,4.2,Brighton,15,1.193,14,2.289,15,1.19,13,2.181,13,2.222,12,1.123
M,331,Fred,5.1,5.1,Man Utd,34,1.375,26,2.482,18,1.263,17,1.263,18,2.534,15,1.247
D,5,Holding,4.2,4.2,Arsenal,72,1.809,66,2.831,55,1.549,48,1.315,40,1.341,32,1.3
D,244,Kristensen,4.7,4.7,Leeds,59,1.758,62,2.072,65,1.34,61,1.612,61,1.694,60,1.643
M,446,Kulusevski,7.8,7.8,Spurs,38,1.551,45,1.488,52,1.818,50,1.712,48,1.704,46,1.835
M,325,Phillips,4.8,4.8,Man City,14,1.21,17,2.573,16,1.292,16,1.282,16,2.449,18,1.268
M,282,Fabinho,5.2,5.2,Liverpool,61,1.674,51,2.32,59,1.573,60,1.585,57,1.449,56,1.464
M,479,Dendoncker,4.7,4.7,Aston Villa,63,2.298,64,2.199,59,1.856,44,1.282,31,1.211,27,1.2
M,140,Pulisic,5.6,5.6,Chelsea,26,1.392,26,1.345,28,1.482,29,1.741,26,2.694,28,1.368
D,544,Van Hecke,4.0,4.0,Brighton,7,1.143,6,2.241,5,1.159,4,2.144,4,2.229,5,1.093
M,552,Anderson,4.3,4.3,Newcastle,13,1.444,15,1.461,15,1.377,14,2.825,14,1.463,14,1.42
D,292,Tsimikas,4.3,4.3,Liverpool,18,1.415,20,2.965,15,1.37,15,1.404,16,1.37,14,1.458
M,134,Kanté,4.8,4.8,Chelsea,52,1.535,49,1.359,48,1.505,50,1.574,48,2.662,47,1.342
D,299,Walker,4.7,4.7,Man City,23,1.143,45,2.551,42,1.302,42,1.29,44,2.419,41,1.207
M,294,Elliott,4.8,4.8,Liverpool,21,1.368,24,2.869,24,1.39,23,1.409,23,1.383,21,1.462
M,469,Fornals,4.9,4.9,West Ham,31,1.343,31,2.747,31,1.377,30,1.355,35,1.552,36,1.486
