,id,orig_name,Pos,pP,gw,source
65,432.0,Willock,M,3.672,1,spiros
66,249.0,A.Doucouré,M,3.726,1,spiros
67,506.0,Pedro Porro,D,3.185,1,spiros
68,259.0,McNeil,M,3.62,1,spiros
69,395.0,Varane,D,4.426,1,spiros
70,342.0,Aké,D,3.701,1,spiros
71,450.0,Johnson,M,3.233,1,spiros
72,246.0,Calvert-Lewin,F,3.63,1,spiros
73,570.0,Sarabia,M,3.516,1,spiros
74,343.0,Álvarez,F,3.662,1,spiros
75,217.0,Thiago Silva,D,2.695,1,spiros
76,568.0,Podence,M,3.409,1,spiros
77,376.0,Casemiro,M,3.913,1,spiros
78,130.0,Enciso,M,4.642,1,spiros
79,129.0,Dunk,D,4.931,1,spiros
80,294.0,Diogo Jota,M,3.424,1,spiros
81,502.0,Lloris,G,3.188,1,spiros
82,427.0,Schär,D,3.375,1,spiros
83,109.0,Mee,D,3.643,1,spiros
84,17.0,Ramsdale,G,4.196,1,spiros
85,525.0,Benrahma,M,3.672,1,spiros
86,533.0,Fabianski,G,3.66,1,spiros
87,365.0,Rodri,M,3.52,1,spiros
88,406.0,Bruno Guimarães,M,3.396,1,spiros
89,103.0,Henry,D,3.571,1,spiros
90,354.0,Grealish,M,3.561,1,spiros
91,151.0,Veltman,D,4.741,1,spiros
92,405.0,Botman,D,3.292,1,spiros
93,153.0,Webster,D,4.755,1,spiros
94,391.0,Martínez,D,4.195,1,spiros
95,236.0,Olise,M,3.647,1,spiros
96,106.0,Jensen,M,3.405,1,spiros
97,293.0,Darwin,F,3.294,1,spiros
98,584.0,Pau,D,2.442,1,spiros
99,407.0,Burn,D,3.191,1,spiros
100,416.0,Joelinton,M,3.253,1,spiros
101,32.0,Álex Moreno,D,2.459,1,spiros
102,55.0,Ramsey,M,2.963,1,spiros
103,77.0,Neto,G,3.704,1,spiros
104,390.0,Martial,F,3.424,1,spiros
105,429.0,Tonali,M,3.226,1,spiros
106,30.0,Xhaka,M,3.63,1,spiros
107,309.0,Szoboszlai,M,3.123,1,spiros
108,135.0,João Pedro,F,3.583,1,spiros
109,423.0,Murphy,M,3.16,1,spiros
110,603.0,Barnes,M,3.065,1,spiros
111,569.0,Sá,G,2.922,1,spiros
112,6.0,Havertz,M,3.523,1,spiros
113,501.0,Kulusevski,M,3.026,1,spiros
114,256.0,Iwobi,M,3.255,1,spiros
115,302.0,Konaté,D,2.858,1,spiros
116,265.0,Tarkowski,D,3.374,1,spiros
117,58.0,Tielemans,M,2.851,1,spiros
118,220.0,Andersen,D,3.57,1,spiros
119,567.0,Neto,M,3.02,1,spiros
120,234.0,Mitchell,D,3.559,1,spiros
121,377.0,Dalot,D,3.821,1,spiros
122,544.0,Zouma,D,3.553,1,spiros
123,297.0,Gakpo,F,3.04,1,spiros
124,496.0,Dier,D,2.671,1,spiros
125,110.0,Nørgaard,M,3.125,1,spiros
126,132.0,Ferguson,F,3.874,1,spiros
127,522.0,Aguerd,D,3.522,1,spiros
128,48.0,Konsa,D,2.251,1,spiros
129,228.0,Guéhi,D,3.463,1,spiros
130,372.0,Antony,M,3.312,1,spiros
131,540.0,Rice,M,3.379,1,spiros
132,247.0,Coleman,D,3.23,1,spiros
133,36.0,Cash,D,2.235,1,spiros
134,253.0,Gray,M,3.03,1,spiros
135,199.0,Enzo,M,2.735,1,spiros
