,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
118,G,710.0,Odysseas,45,45,Nott'm Forest,85.0,3.136,85.0,3.252,85.0,3.231,85.0,3.616,85.0,2.565,85.0,3.175,85.0,2.758,85.0,2.86,85.0,3.259,85.0,2.857,85.0,3.47,85.0,2.777
119,M,256.0,Iwobi,53,53,Fulham,75.0,3.327,75.0,3.162,75.0,2.749,75.0,3.368,75.0,3.175,75.0,2.86,75.0,2.792,75.0,3.118,75.0,3.242,75.0,3.28,75.0,2.942,75.0,2.933
120,D,522.0,Aguerd,45,45,West Ham,85.0,2.839,85.0,3.125,85.0,3.717,85.0,3.128,85.0,2.172,85.0,2.975,85.0,3.665,85.0,3.687,85.0,2.752,85.0,2.517,85.0,3.331,85.0,2.959
121,D,281.0,Ream,45,45,Fulham,77.0,3.807,77.0,3.429,77.0,2.054,77.0,3.925,77.0,3.159,77.0,2.468,77.0,2.239,77.0,3.395,77.0,3.359,77.0,3.592,77.0,2.771,77.0,2.653
122,G,596.0,Trafford,45,45,Burnley,89.0,3.256,89.0,2.781,89.0,3.492,89.0,3.151,89.0,2.852,89.0,2.818,89.0,4.123,89.0,2.347,89.0,3.53,89.0,2.57,89.0,2.846,89.0,3.063
123,M,221.0,J.Ayew,54,54,Crystal Palace,77.0,3.371,77.0,2.86,77.0,2.626,77.0,3.004,77.0,2.794,77.0,2.989,77.0,2.763,77.0,3.566,77.0,2.894,77.0,2.897,77.0,3.089,77.0,3.466
124,G,263.0,Pickford,44,44,Everton,89.0,2.738,89.0,2.935,89.0,3.473,89.0,3.025,89.0,2.492,89.0,3.3,89.0,3.139,89.0,3.245,89.0,3.325,89.0,2.268,89.0,3.485,89.0,2.84
125,M,591.0,Willian,53,53,Fulham,65.0,3.278,65.0,3.087,65.0,2.678,65.0,3.33,65.0,3.16,65.0,2.742,65.0,2.709,65.0,3.026,65.0,3.254,65.0,3.24,65.0,2.819,65.0,2.887
126,M,110.0,Nørgaard,54,54,Brentford,77.0,2.89,77.0,3.373,77.0,3.01,0.0,0.0,77.0,3.43,77.0,5.095,77.0,3.473,77.0,2.966,77.0,2.711,77.0,3.266,77.0,2.867,77.0,3.127
127,F,390.0,Martial,64,64,Man Utd,65.0,2.827,65.0,3.114,65.0,2.819,65.0,3.068,65.0,2.878,65.0,3.149,65.0,2.909,65.0,3.139,65.0,3.076,65.0,2.869,65.0,3.194,65.0,3.117
128,D,228.0,Guéhi,47,47,Crystal Palace,85.0,3.808,85.0,2.518,85.0,1.806,85.0,3.047,85.0,2.4,85.0,2.946,85.0,2.281,85.0,4.516,85.0,2.664,85.0,2.757,85.0,3.076,85.0,4.213
129,D,439.0,Boly,45,45,Nott'm Forest,78.0,3.162,78.0,3.325,78.0,3.084,78.0,3.782,78.0,2.158,78.0,3.146,78.0,2.501,78.0,2.571,78.0,3.31,78.0,2.463,78.0,3.544,78.0,2.501
130,M,280.0,Palhinha,50,50,Fulham,85.0,3.215,85.0,3.059,85.0,2.575,85.0,3.277,85.0,3.001,85.0,2.798,85.0,2.609,85.0,2.909,85.0,3.142,85.0,3.115,85.0,2.746,85.0,2.844
131,M,513.0,Sarr,46,46,Spurs,72.0,3.068,72.0,2.737,72.0,3.101,72.0,3.03,72.0,2.772,72.0,3.207,72.0,2.803,72.0,2.828,72.0,2.916,72.0,2.862,72.0,3.204,72.0,2.703
132,M,63.0,Billing,52,52,Bournemouth,75.0,2.935,75.0,2.833,75.0,3.384,75.0,3.067,75.0,3.074,75.0,2.792,75.0,2.734,75.0,2.941,75.0,3.208,75.0,2.978,75.0,2.64,75.0,2.592
133,D,265.0,Tarkowski,44,44,Everton,86.0,2.541,86.0,2.806,86.0,3.608,86.0,2.902,86.0,2.044,86.0,3.417,86.0,3.037,86.0,3.288,86.0,3.275,86.0,1.819,86.0,3.639,86.0,2.747
134,M,700.0,Ansu Fati,65,65,Brighton,50.0,2.621,50.0,3.036,50.0,2.364,50.0,2.806,50.0,2.654,50.0,2.81,50.0,3.042,50.0,3.734,50.0,2.821,50.0,2.638,50.0,3.751,50.0,2.792
135,M,210.0,Mudryk,63,63,Chelsea,60.0,2.597,60.0,2.762,60.0,3.879,60.0,2.921,60.0,2.871,60.0,3.737,60.0,2.885,60.0,2.418,60.0,2.99,60.0,2.824,60.0,2.338,60.0,2.62
136,M,236.0,Olise,58,58,Crystal Palace,60.0,3.459,60.0,2.709,60.0,2.537,60.0,2.852,60.0,2.671,60.0,2.816,60.0,2.633,60.0,3.546,60.0,2.783,60.0,2.737,60.0,2.868,60.0,3.213
137,M,304.0,Mac Allister,58,58,Liverpool,75.0,3.106,75.0,2.835,75.0,2.9,75.0,2.681,75.0,2.984,75.0,2.626,75.0,2.908,75.0,2.684,75.0,2.574,75.0,3.211,75.0,2.634,75.0,3.338
138,M,379.0,Eriksen,58,58,Man Utd,63.0,2.637,63.0,3.078,63.0,2.561,63.0,2.892,63.0,2.712,63.0,3.025,63.0,2.77,63.0,3.006,63.0,2.949,63.0,2.658,63.0,3.137,63.0,2.99
139,D,283.0,Robinson,44,44,Fulham,75.0,3.573,75.0,3.195,75.0,1.887,75.0,3.694,75.0,2.95,75.0,2.24,75.0,2.075,75.0,3.223,75.0,3.138,75.0,3.377,75.0,2.601,75.0,2.424
140,M,254.0,Gueye,48,48,Everton,74.0,2.638,74.0,2.686,74.0,3.082,74.0,2.869,74.0,2.535,74.0,3.045,74.0,2.904,74.0,3.007,74.0,2.948,74.0,2.482,74.0,3.061,74.0,2.857
141,F,33.0,Archer,46,46,Sheffield Utd,75.0,2.701,75.0,2.713,75.0,2.665,75.0,2.677,75.0,3.157,75.0,2.609,75.0,2.94,75.0,2.953,75.0,2.713,75.0,3.12,75.0,2.804,75.0,2.979
142,M,105.0,Janelt,53,53,Brentford,74.0,2.769,74.0,3.152,74.0,2.871,0.0,0.0,74.0,3.138,74.0,4.826,74.0,3.181,74.0,2.808,74.0,2.605,74.0,3.001,74.0,2.749,74.0,2.924
143,M,570.0,Sarabia,47,47,Wolves,55.0,3.094,55.0,3.033,55.0,2.796,55.0,2.545,55.0,2.618,55.0,2.834,55.0,2.573,55.0,2.667,55.0,2.517,55.0,2.648,55.0,2.642,55.0,3.959
144,M,601.0,Danjuma,53,53,Everton,65.0,2.723,65.0,2.761,65.0,2.926,65.0,2.812,65.0,2.623,65.0,2.888,65.0,2.821,65.0,2.935,65.0,2.86,65.0,2.593,65.0,2.967,65.0,2.786
145,D,436.0,Aurier,45,45,Nott'm Forest,77.0,3.01,77.0,3.196,77.0,2.954,77.0,3.656,77.0,1.994,77.0,2.95,77.0,2.335,77.0,2.39,77.0,3.19,77.0,2.295,77.0,3.381,77.0,2.335
146,D,532.0,Emerson,45,45,West Ham,78.0,2.55,78.0,2.844,78.0,3.434,78.0,2.856,78.0,1.928,78.0,2.698,78.0,3.365,78.0,3.405,78.0,2.481,78.0,2.272,78.0,3.047,78.0,2.673
147,F,535.0,Ings,56,56,West Ham,68.0,2.719,68.0,2.827,68.0,2.926,68.0,2.734,68.0,2.626,68.0,2.722,68.0,2.999,68.0,2.932,68.0,2.708,68.0,2.652,68.0,2.903,68.0,2.71
148,D,575.0,Lockyer,43,43,Luton,85.0,2.383,85.0,2.034,85.0,3.031,85.0,2.359,85.0,3.615,85.0,2.549,85.0,3.212,85.0,2.747,85.0,2.034,85.0,4.309,85.0,2.921,85.0,2.047
149,D,341.0,Akanji,49,49,Man City,60.0,2.324,60.0,2.967,60.0,3.04,0.0,0.0,60.0,2.737,60.0,5.55,60.0,2.121,60.0,3.396,60.0,2.327,60.0,3.171,60.0,2.486,60.0,2.796
150,D,563.0,Kilman,45,45,Wolves,83.0,3.6,83.0,3.48,83.0,2.602,83.0,2.268,83.0,2.1,83.0,3.157,83.0,2.126,83.0,2.663,83.0,1.945,83.0,2.456,83.0,2.367,83.0,3.999
151,D,257.0,Keane,43,43,Everton,80.0,2.407,80.0,2.669,80.0,3.307,80.0,2.746,80.0,1.924,80.0,3.133,80.0,2.877,80.0,3.011,80.0,3.117,80.0,1.7,80.0,3.353,80.0,2.492
