Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts
M,542.0,Soucek,50,50,West Ham,77.0,3.509,77.0,2.88,77.0,2.939,77.0,3.65,77.0,3.005,77.0,3.183,77.0,3.52,77.0,3.173
M,567.0,Neto,55,55,Wolves,75.0,3.119,75.0,3.022,75.0,3.655,75.0,2.861,75.0,3.153,75.0,3.431,75.0,2.966,75.0,3.624
G,614.0,Kaminski,45,45,Luton,89.0,3.364,89.0,3.27,89.0,3.707,89.0,3.196,89.0,3.334,89.0,3.31,89.0,2.862,89.0,2.752
M,30.0,Xhaka,60,60,Arsenal,79.0,3.113,79.0,3.324,79.0,3.349,79.0,3.401,79.0,2.803,79.0,3.082,79.0,3.717,79.0,2.861
D,129.0,Dunk,50,50,Brighton,87.0,2.805,87.0,2.793,87.0,4.503,87.0,2.919,87.0,2.829,87.0,1.949,87.0,4.127,87.0,3.618
D,544.0,Zouma,45,45,West Ham,84.0,3.917,84.0,2.193,84.0,2.364,84.0,4.549,84.0,2.693,84.0,2.899,84.0,4.032,84.0,2.854
M,34.0,Bailey,55,55,Aston Villa,67.0,2.824,67.0,3.097,67.0,3.034,67.0,2.894,67.0,3.375,67.0,3.251,67.0,3.655,67.0,3.369
D,48.0,Konsa,45,45,Aston Villa,77.0,2.241,77.0,3.208,77.0,2.761,77.0,2.758,77.0,3.352,77.0,3.394,77.0,4.376,77.0,3.358
D,228.0,Guéhi,45,45,Crystal Palace,85.0,3.882,85.0,2.559,85.0,3.598,85.0,2.502,85.0,3.901,85.0,2.183,85.0,3.295,85.0,3.466
M,142.0,Milner,50,50,Brighton,77.0,2.972,77.0,2.955,77.0,3.629,77.0,3.161,77.0,2.992,77.0,2.75,77.0,3.515,77.0,3.387
M,601.0,Danjuma,55,55,Everton,65.0,3.377,65.0,2.954,65.0,3.024,65.0,3.55,65.0,3.406,65.0,2.916,65.0,3.145,65.0,2.972
M,534.0,Fornals,49,49,West Ham,72.0,3.514,72.0,2.831,72.0,2.909,72.0,3.644,72.0,2.959,72.0,3.027,72.0,3.373,72.0,3.02
G,28.0,Turner,40,40,Nott'm Forest,89.0,2.991,89.0,4.017,89.0,2.276,89.0,3.041,89.0,2.987,89.0,4.224,89.0,2.577,89.0,3.077
D,522.0,Aguerd,45,45,West Ham,80.0,3.871,80.0,2.126,80.0,2.298,80.0,4.503,80.0,2.626,80.0,2.863,80.0,3.996,80.0,2.818
G,482.0,Foderingham,45,45,Sheffield Utd,89.0,3.614,89.0,3.039,89.0,2.752,89.0,3.068,89.0,3.305,89.0,2.941,89.0,2.523,89.0,3.765
M,256.0,Iwobi,54,54,Everton,77.0,3.346,77.0,2.896,77.0,2.955,77.0,3.51,77.0,3.415,77.0,2.818,77.0,3.135,77.0,2.929
F,225.0,Edouard,55,55,Crystal Palace,68.0,3.269,68.0,3.032,68.0,3.184,68.0,2.932,68.0,3.261,68.0,2.837,68.0,3.101,68.0,3.258
G,596.0,Trafford,45,45,Burnley,89.0,3.353,89.0,3.342,89.0,2.947,89.0,2.477,89.0,3.2,89.0,2.844,89.0,3.325,89.0,3.186
D,222.0,Clyne,44,44,Crystal Palace,72.0,3.719,72.0,2.513,72.0,3.457,72.0,2.458,72.0,3.736,72.0,2.156,72.0,3.191,72.0,3.345
D,245.0,Branthwaite,40,40,Everton,75.0,3.595,75.0,2.443,75.0,2.599,75.0,4.304,75.0,3.761,75.0,2.08,75.0,2.947,75.0,2.605
M,240.0,Schlupp,50,50,Crystal Palace,74.0,3.243,74.0,2.883,74.0,3.171,74.0,2.831,74.0,3.241,74.0,2.762,74.0,3.031,74.0,3.165
D,511.0,Romero,46,46,Spurs,80.0,3.337,80.0,4.049,80.0,2.066,80.0,2.399,80.0,3.417,80.0,3.449,80.0,2.627,80.0,2.974
D,153.0,Webster,44,44,Brighton,82.0,2.687,82.0,2.674,82.0,4.312,82.0,2.732,82.0,2.709,82.0,1.835,82.0,3.937,82.0,3.431
D,104.0,Hickey,45,45,Brentford,75.0,3.662,75.0,1.981,75.0,3.496,75.0,3.076,75.0,2.307,75.0,3.895,75.0,2.491,75.0,3.111
