Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
M,591.0,Willian,53,53,Fulham,60.0,2.628,60.0,2.837,60.0,2.968,60.0,2.862,60.0,2.592,60.0,2.429,60.0,2.64,60.0,2.855,60.0,1.569,60.0,3.122
M,599.0,Diaby,66,66,Aston Villa,60.0,2.644,60.0,2.527,60.0,2.981,60.0,2.641,60.0,2.696,60.0,2.896,60.0,2.974,60.0,2.687,60.0,1.397,60.0,2.785
F,211.0,N.Jackson,69,69,Chelsea,65.0,3.12,65.0,2.773,65.0,3.12,65.0,3.11,65.0,2.602,65.0,0.912,65.0,2.871,65.0,2.857,65.0,1.644,65.0,3.118
D,350.0,Dias,55,55,Man City,60.0,2.172,60.0,3.257,60.0,2.319,60.0,2.931,60.0,4.397,60.0,2.622,60.0,2.745,60.0,2.635,60.0,0.689,60.0,2.322
F,535.0,Ings,56,56,West Ham,68.0,2.87,68.0,2.76,68.0,2.639,68.0,2.568,68.0,2.799,68.0,2.642,68.0,2.705,68.0,2.853,68.0,1.35,68.0,2.614
M,379.0,Eriksen,58,58,Man Utd,63.0,2.749,63.0,2.85,63.0,2.835,63.0,2.541,63.0,3.051,63.0,2.603,63.0,2.406,63.0,2.778,63.0,1.202,63.0,2.613
M,110.0,Nørgaard,54,54,Brentford,67.0,2.633,67.0,2.419,67.0,2.168,67.0,2.471,67.0,3.761,67.0,2.435,67.0,2.359,67.0,2.694,67.0,2.265,67.0,2.42
F,433.0,Wilson,78,78,Newcastle,55.0,2.315,55.0,2.334,55.0,3.616,55.0,2.836,55.0,2.711,55.0,2.317,55.0,2.765,55.0,2.371,55.0,1.414,55.0,2.686
D,563.0,Kilman,45,45,Wolves,85.0,2.196,85.0,2.858,85.0,2.214,85.0,2.757,85.0,2.56,85.0,3.932,85.0,2.052,85.0,3.155,85.0,1.576,85.0,2.013
M,161.0,Brownhill,47,47,Burnley,75.0,2.994,75.0,2.296,75.0,2.683,75.0,2.373,75.0,2.438,75.0,2.58,75.0,2.67,75.0,2.555,75.0,2.24,75.0,2.434
M,250.0,Garner,49,49,Everton,75.0,2.64,75.0,2.791,75.0,2.83,75.0,2.429,75.0,2.884,75.0,2.633,75.0,2.847,75.0,2.698,75.0,0.54,75.0,2.779
D,245.0,Branthwaite,41,41,Everton,84.0,2.503,84.0,2.864,84.0,3.097,84.0,1.524,84.0,3.303,84.0,2.321,84.0,3.186,84.0,2.628,84.0,0.446,84.0,2.835
M,254.0,Gueye,48,48,Everton,74.0,2.618,74.0,2.746,74.0,2.758,74.0,2.398,74.0,2.837,74.0,2.603,74.0,2.803,74.0,2.673,74.0,0.533,74.0,2.725
M,280.0,Palhinha,50,50,Fulham,85.0,2.338,85.0,2.626,85.0,2.742,85.0,2.695,85.0,2.468,85.0,2.287,85.0,2.544,85.0,2.646,85.0,1.458,85.0,2.79
M,470.0,Yates,48,48,Nott'm Forest,78.0,2.46,78.0,2.427,78.0,2.56,78.0,2.502,78.0,2.649,78.0,2.376,78.0,2.412,78.0,2.44,78.0,2.06,78.0,2.69
F,594.0,Amdouni,53,53,Burnley,67.0,2.714,67.0,2.352,67.0,2.556,67.0,2.386,67.0,2.389,67.0,2.546,67.0,2.515,67.0,2.538,67.0,2.151,67.0,2.409
D,572.0,Semedo,45,45,Wolves,75.0,2.136,75.0,2.751,75.0,2.167,75.0,2.669,75.0,2.498,75.0,3.785,75.0,2.01,75.0,3.028,75.0,1.518,75.0,1.961
D,497.0,Emerson Royal,44,44,Spurs,65.0,2.519,65.0,2.644,65.0,2.617,65.0,2.544,65.0,3.102,65.0,0.68,65.0,3.029,65.0,2.129,65.0,1.558,65.0,3.617
M,372.0,Antony,68,68,Man Utd,64.0,2.652,64.0,2.636,64.0,2.662,64.0,2.476,64.0,2.871,64.0,2.423,64.0,2.378,64.0,2.659,64.0,1.138,64.0,2.522
D,545.0,Aït-Nouri,45,45,Wolves,70.0,2.126,70.0,2.685,70.0,2.155,70.0,2.621,70.0,2.461,70.0,3.653,70.0,2.005,70.0,2.947,70.0,1.481,70.0,1.959
D,173.0,O'Shea,44,44,Burnley,85.0,3.812,85.0,1.432,85.0,2.991,85.0,1.64,85.0,1.972,85.0,2.516,85.0,2.988,85.0,2.438,85.0,2.215,85.0,1.987
D,604.0,Aina,45,45,Nott'm Forest,69.0,2.354,69.0,2.142,69.0,2.593,69.0,2.336,69.0,2.905,69.0,2.022,69.0,2.064,69.0,2.183,69.0,2.413,69.0,2.968
M,65.0,Christie,50,50,Bournemouth,64.0,2.219,64.0,2.402,64.0,2.753,64.0,2.78,64.0,2.414,64.0,2.322,64.0,2.518,64.0,2.738,64.0,1.218,64.0,2.435
D,467.0,N.Williams,43,43,Nott'm Forest,65.0,2.319,65.0,2.107,65.0,2.572,65.0,2.288,65.0,2.855,65.0,2.031,65.0,2.046,65.0,2.193,65.0,2.384,65.0,2.907
D,32.0,Álex Moreno,50,50,Aston Villa,55.0,2.565,55.0,2.357,50.0,3.152,50.0,2.146,50.0,2.24,50.0,2.409,50.0,3.142,50.0,2.227,50.0,1.132,50.0,2.32
M,488.0,Norwood,48,48,Sheffield Utd,74.0,2.591,74.0,2.516,74.0,2.42,74.0,2.658,74.0,2.465,74.0,2.536,74.0,2.392,74.0,2.496,74.0,0.928,74.0,2.634
D,238.0,Richards,39,39,Crystal Palace,65.0,1.669,65.0,3.21,65.0,1.974,65.0,2.245,65.0,2.313,65.0,2.997,65.0,2.278,65.0,3.197,65.0,1.125,65.0,2.521
D,457.0,Niakhaté,45,45,Nott'm Forest,75.0,2.242,75.0,2.035,75.0,2.494,75.0,2.249,75.0,2.84,75.0,1.883,75.0,1.945,75.0,2.055,75.0,2.378,75.0,2.912
F,132.0,Ferguson,59,59,Brighton,55.0,2.344,55.0,3.058,55.0,2.326,55.0,2.233,55.0,3.069,55.0,2.256,55.0,2.321,55.0,2.4,55.0,0.643,55.0,2.088
M,231.0,Lerma,47,47,Crystal Palace,65.0,2.148,65.0,2.612,65.0,2.248,65.0,2.27,65.0,2.332,65.0,2.553,65.0,2.317,65.0,2.604,65.0,1.193,65.0,2.443
D,262.0,Patterson,44,44,Everton,65.0,2.246,65.0,2.57,65.0,2.748,65.0,1.547,65.0,2.879,65.0,2.143,65.0,2.798,65.0,2.374,65.0,0.417,65.0,2.555
D,471.0,Ahmedhodžić,43,43,Sheffield Utd,68.0,2.617,68.0,2.344,68.0,2.013,68.0,2.902,68.0,2.175,68.0,2.424,68.0,1.87,68.0,2.339,68.0,0.806,68.0,2.737
D,150.0,Van Hecke,40,40,Brighton,60.0,2.578,60.0,2.609,60.0,2.469,60.0,2.204,60.0,2.616,60.0,2.464,60.0,2.263,60.0,2.724,60.0,0.504,60.0,1.721
M,55.0,Ramsey,59,59,Aston Villa,60.0,2.244,60.0,2.149,60.0,2.479,60.0,2.217,60.0,2.267,60.0,2.414,60.0,2.472,60.0,2.288,60.0,1.17,60.0,2.344
M,26.0,Trossard,65,65,Arsenal,35.0,2.351,35.0,2.304,35.0,2.052,35.0,2.288,35.0,2.333,35.0,2.165,35.0,3.032,35.0,2.174,35.0,1.299,35.0,2.002
M,72.0,Kluivert,46,46,Bournemouth,60.0,2.017,60.0,2.214,60.0,2.563,60.0,2.56,60.0,2.208,60.0,2.115,60.0,2.351,60.0,2.536,60.0,1.123,60.0,2.242
D,114.0,Roerslev,44,44,Brentford,60.0,2.596,60.0,2.12,60.0,1.561,60.0,2.202,60.0,2.856,60.0,2.125,60.0,2.079,60.0,2.019,60.0,2.07,60.0,2.199
M,392.0,McTominay,47,47,Man Utd,55.0,2.244,55.0,2.307,55.0,2.258,55.0,2.058,55.0,3.24,55.0,2.09,55.0,1.995,55.0,2.264,55.0,1.254,55.0,2.102
F,177.0,Rodriguez,53,53,Burnley,60.0,2.435,60.0,2.073,60.0,2.278,60.0,2.087,60.0,2.102,60.0,2.271,60.0,2.244,60.0,2.26,60.0,1.92,60.0,2.126
D,151.0,Veltman,43,43,Brighton,60.0,2.534,60.0,2.494,60.0,2.424,60.0,2.185,60.0,2.5,60.0,2.427,60.0,2.22,60.0,2.68,60.0,0.502,60.0,1.715
M,133.0,Gilmour,49,49,Brighton,64.0,2.402,64.0,2.429,64.0,2.371,64.0,2.23,64.0,2.438,64.0,2.308,64.0,2.31,64.0,2.471,64.0,0.626,64.0,2.056
M,170.0,Gudmundsson,48,48,Burnley,60.0,2.538,60.0,2.008,60.0,2.255,60.0,2.018,60.0,2.05,60.0,2.214,60.0,2.257,60.0,2.2,60.0,1.911,60.0,2.1
D,31.0,Zinchenko,52,52,Arsenal,58.0,2.523,58.0,2.43,58.0,1.905,58.0,2.261,58.0,2.481,58.0,2.055,58.0,2.618,58.0,2.298,58.0,1.3,58.0,1.595
M,481.0,Fleck,49,49,Sheffield Utd,67.0,2.323,67.0,2.277,67.0,2.188,67.0,2.406,67.0,2.228,67.0,2.296,67.0,2.182,67.0,2.278,67.0,0.841,67.0,2.357
M,63.0,Billing,52,52,Bournemouth,60.0,1.915,60.0,2.132,60.0,2.472,60.0,2.469,60.0,2.131,60.0,2.012,60.0,2.271,60.0,2.469,60.0,1.082,60.0,2.164
D,576.0,Jack Robinson,44,44,Sheffield Utd,75.0,2.52,75.0,2.21,75.0,1.862,75.0,2.831,75.0,2.043,75.0,2.3,75.0,1.707,75.0,2.221,75.0,0.746,75.0,2.658
M,210.0,Mudryk,63,63,Chelsea,60.0,2.437,60.0,2.123,60.0,2.463,60.0,2.391,60.0,2.068,60.0,0.704,60.0,2.242,60.0,2.234,60.0,1.269,60.0,2.577
D,178.0,Taylor,40,40,Burnley,63.0,2.934,63.0,1.317,63.0,2.342,63.0,1.453,63.0,1.648,63.0,2.049,63.0,2.35,63.0,2.003,63.0,1.779,63.0,1.691
F,617.0,Højlund,68,68,Man Utd,60.0,2.113,60.0,2.132,60.0,2.119,60.0,2.01,60.0,2.249,60.0,1.921,60.0,1.993,60.0,2.112,60.0,0.864,60.0,2.05
D,602.0,Kabore,40,40,Luton,60.0,2.146,60.0,1.832,60.0,1.705,60.0,3.038,60.0,3.151,60.0,0.283,60.0,1.72,60.0,1.976,60.0,1.805,60.0,1.884
M,421.0,S.Longstaff,48,48,Newcastle,60.0,1.836,60.0,1.893,60.0,2.361,60.0,2.125,60.0,2.13,60.0,1.867,60.0,2.134,60.0,1.932,60.0,1.089,60.0,2.086
M,95.0,Canós,50,50,Brentford,55.0,1.962,55.0,1.827,55.0,1.676,55.0,1.858,55.0,2.87,55.0,1.832,55.0,1.75,55.0,2.057,55.0,1.713,55.0,1.778
F,328.0,Ogbene,49,49,Luton,55.0,1.982,55.0,1.907,55.0,1.995,55.0,2.427,55.0,3.343,55.0,0.322,55.0,1.876,55.0,1.95,55.0,1.514,55.0,1.91
M,360.0,McAtee,44,44,Sheffield Utd,60.0,2.056,60.0,2.02,60.0,1.938,60.0,2.182,60.0,1.987,60.0,2.04,60.0,1.944,60.0,2.032,60.0,0.748,60.0,2.079
F,297.0,Gakpo,72,72,Liverpool,55.0,2.112,55.0,1.989,55.0,1.927,55.0,2.326,55.0,3.609,55.0,0.251,55.0,2.216,55.0,1.917,55.0,0.435,55.0,2.031
M,304.0,Mac Allister,58,58,Liverpool,60.0,2.127,60.0,2.078,60.0,1.935,60.0,2.371,60.0,3.614,60.0,0.259,60.0,2.111,60.0,1.843,60.0,0.425,60.0,2.019
F,225.0,Edouard,54,54,Crystal Palace,40.0,1.672,40.0,2.529,40.0,1.751,40.0,1.734,40.0,1.831,40.0,1.955,40.0,1.824,40.0,2.527,40.0,0.919,40.0,1.94
M,126.0,Caicedo,46,46,Chelsea,63.0,2.191,63.0,1.961,63.0,2.216,63.0,2.132,63.0,1.907,63.0,0.645,63.0,2.04,63.0,2.054,63.0,1.176,63.0,2.308
D,611.0,Disasi,49,49,Chelsea,60.0,2.365,60.0,1.66,60.0,2.455,60.0,2.154,60.0,1.44,60.0,0.688,60.0,1.941,60.0,1.987,60.0,0.997,60.0,2.694
D,484.0,Lowe,43,43,Sheffield Utd,62.0,2.119,62.0,1.926,62.0,1.68,62.0,2.337,62.0,1.803,62.0,1.991,62.0,1.595,62.0,1.944,62.0,0.668,62.0,2.206
M,715.0,Bellegarde,49,49,Wolves,40.0,1.797,40.0,1.818,40.0,1.785,40.0,1.8,40.0,1.873,40.0,2.697,40.0,1.785,40.0,1.903,40.0,0.952,40.0,1.717
F,486.0,Ndiaye,55,55,Sheffield Utd,55.0,1.894,55.0,1.883,55.0,1.781,55.0,2.064,55.0,1.841,55.0,1.893,55.0,1.802,55.0,1.892,55.0,0.695,55.0,1.905
F,326.0,Morris,50,50,Luton,50.0,1.849,50.0,1.704,50.0,1.793,50.0,2.259,50.0,3.029,50.0,0.289,50.0,1.695,50.0,1.79,50.0,1.413,50.0,1.705
D,191.0,Badiashile,44,44,Chelsea,57.0,2.219,57.0,1.627,57.0,2.287,57.0,2.07,57.0,1.478,57.0,0.634,57.0,1.84,57.0,1.863,57.0,0.972,57.0,2.483
M,295.0,Elliott,48,48,Liverpool,33.0,1.935,33.0,1.876,33.0,1.754,33.0,2.142,33.0,3.369,33.0,0.238,33.0,2.02,33.0,1.755,33.0,0.401,33.0,1.883
M,708.0,Gravenberch,50,50,Liverpool,55.0,1.909,55.0,1.837,55.0,1.753,55.0,2.139,55.0,3.338,55.0,0.239,55.0,1.98,55.0,1.761,55.0,0.394,55.0,1.85
M,388.0,Mainoo,44,44,Man Utd,60.0,1.856,60.0,1.846,60.0,1.857,60.0,1.737,60.0,1.932,60.0,1.691,60.0,1.675,60.0,1.866,60.0,0.769,60.0,1.766
D,476.0,Bogle,45,45,Sheffield Utd,60.0,1.948,60.0,1.784,60.0,1.565,60.0,2.212,60.0,1.679,60.0,1.842,60.0,1.499,60.0,1.808,60.0,0.62,60.0,2.022
F,258.0,Maupay,49,49,Brentford,35.0,1.63,35.0,1.584,35.0,1.445,35.0,1.634,35.0,2.472,35.0,1.62,35.0,1.503,35.0,1.77,35.0,1.459,35.0,1.558
M,709.0,Amrabat,50,50,Man Utd,60.0,1.786,60.0,1.781,60.0,1.792,60.0,1.668,60.0,1.867,60.0,1.633,60.0,1.603,60.0,1.796,60.0,0.745,60.0,1.702
M,268.0,Cairney,49,49,Fulham,55.0,1.602,55.0,1.721,55.0,1.801,55.0,1.754,55.0,1.618,55.0,1.489,55.0,1.659,55.0,1.734,55.0,0.971,55.0,1.854
F,193.0,Broja,49,49,Chelsea,50.0,1.888,50.0,1.744,50.0,1.881,50.0,1.877,50.0,1.732,50.0,0.564,50.0,1.796,50.0,1.809,50.0,1.047,50.0,1.837
D,176.0,Roberts,43,43,Burnley,59.0,2.323,59.0,1.179,59.0,1.886,59.0,1.259,59.0,1.396,59.0,1.678,59.0,1.903,59.0,1.648,59.0,1.463,59.0,1.425
M,288.0,Wilson,53,53,Fulham,40.0,1.589,40.0,1.702,40.0,1.839,40.0,1.725,40.0,1.533,40.0,1.442,40.0,1.605,40.0,1.717,40.0,0.974,40.0,1.972
D,341.0,Akanji,49,49,Man City,50.0,1.477,50.0,1.759,50.0,1.507,50.0,1.656,50.0,2.654,50.0,1.612,50.0,1.598,50.0,1.797,50.0,0.463,50.0,1.509
M,64.0,Brooks,47,47,Bournemouth,22.0,1.419,22.0,1.552,22.0,1.685,22.0,1.879,22.0,1.62,22.0,1.537,22.0,1.533,22.0,2.267,22.0,0.787,22.0,1.576
M,601.0,Danjuma,52,52,Everton,45.0,1.631,45.0,1.762,45.0,1.759,45.0,1.59,45.0,1.772,45.0,1.678,45.0,1.756,45.0,1.688,45.0,0.341,45.0,1.761
M,713.0,Sangaré,49,49,Nott'm Forest,60.0,1.587,60.0,1.553,60.0,1.652,60.0,1.581,60.0,1.67,60.0,1.538,60.0,1.548,60.0,1.573,60.0,1.318,60.0,1.684
M,78.0,Ouattara,47,47,Bournemouth,35.0,1.463,35.0,1.57,35.0,1.805,35.0,1.812,35.0,1.604,35.0,1.538,35.0,1.699,35.0,1.796,35.0,0.794,35.0,1.569
D,257.0,Keane,43,43,Everton,30.0,1.6,30.0,1.739,30.0,1.692,30.0,1.546,30.0,1.748,30.0,1.666,30.0,1.728,30.0,1.695,30.0,0.333,30.0,1.715
M,270.0,De Cordova-Reid,53,53,Fulham,45.0,1.5,45.0,1.601,45.0,1.739,45.0,1.627,45.0,1.496,45.0,1.4,45.0,1.529,45.0,1.656,45.0,0.908,45.0,1.835
D,25.0,Tomiyasu,45,45,Arsenal,50.0,1.662,50.0,1.673,50.0,1.459,50.0,1.596,50.0,1.693,50.0,1.503,50.0,1.724,50.0,1.558,50.0,0.915,50.0,1.366
M,209.0,Mount,68,68,Man Utd,35.0,1.637,35.0,1.649,35.0,1.645,35.0,1.51,35.0,1.786,35.0,1.483,35.0,1.486,35.0,1.632,35.0,0.688,35.0,1.565
G,148.0,Steele,42,42,Brighton,50.0,1.642,50.0,1.642,50.0,1.627,50.0,1.554,50.0,1.658,50.0,1.617,50.0,1.602,50.0,1.641,50.0,0.491,50.0,1.556
G,152.0,Verbruggen,44,44,Brighton,50.0,1.618,50.0,1.617,50.0,1.603,50.0,1.533,50.0,1.635,50.0,1.596,50.0,1.578,50.0,1.618,50.0,0.485,50.0,1.536
D,153.0,Webster,42,42,Brighton,52.0,1.653,52.0,1.669,52.0,1.611,52.0,1.528,52.0,1.676,52.0,1.6,52.0,1.548,52.0,1.72,52.0,0.417,52.0,1.354
M,565.0,Lemina,49,49,Wolves,55.0,1.472,55.0,1.538,55.0,1.442,55.0,1.493,55.0,1.495,55.0,1.849,55.0,1.435,55.0,1.605,55.0,0.785,55.0,1.431
F,340.0,Woodrow,44,44,Luton,10.0,1.472,10.0,1.453,10.0,1.521,10.0,1.861,10.0,2.528,10.0,0.24,10.0,1.404,10.0,1.437,10.0,1.062,10.0,1.431
M,489.0,Osborn,48,48,Sheffield Utd,55.0,1.551,55.0,1.526,55.0,1.468,55.0,1.603,55.0,1.499,55.0,1.544,55.0,1.479,55.0,1.538,55.0,0.565,55.0,1.567
M,586.0,Chong,48,48,Luton,35.0,1.469,35.0,1.414,35.0,1.493,35.0,1.832,35.0,2.484,35.0,0.24,35.0,1.392,35.0,1.439,35.0,1.119,35.0,1.432
D,204.0,Hall,43,43,Newcastle,40.0,1.413,40.0,1.428,40.0,1.642,40.0,1.531,40.0,1.506,40.0,1.389,40.0,1.509,40.0,1.443,40.0,0.788,40.0,1.495
M,657.0,Rak-Sakyi,45,45,Crystal Palace,30.0,1.352,30.0,1.639,30.0,1.408,30.0,1.41,30.0,1.433,30.0,1.529,30.0,1.439,30.0,1.64,30.0,0.747,30.0,1.517
M,208.0,Madueke,53,53,Chelsea,45.0,1.621,45.0,1.463,45.0,1.632,45.0,1.617,45.0,1.47,45.0,0.472,45.0,1.511,45.0,1.509,45.0,0.873,45.0,1.706
F,562.0,Kalajdžić,49,49,Wolves,10.0,1.263,10.0,1.267,10.0,1.332,10.0,1.259,10.0,1.353,10.0,2.551,10.0,1.332,10.0,1.295,10.0,0.679,10.0,1.26
M,58.0,Tielemans,56,56,Aston Villa,45.0,1.351,45.0,1.332,45.0,1.48,45.0,1.348,45.0,1.367,45.0,1.48,45.0,1.473,45.0,1.397,45.0,0.706,45.0,1.416
D,606.0,Igor,43,43,Brighton,50.0,1.453,50.0,1.478,50.0,1.422,50.0,1.354,50.0,1.485,50.0,1.404,50.0,1.381,50.0,1.507,50.0,0.379,50.0,1.227
M,621.0,Hinshelwood,45,45,Brighton,20.0,1.409,20.0,1.505,20.0,1.403,20.0,1.354,20.0,1.515,20.0,1.362,20.0,1.392,20.0,1.411,20.0,0.381,20.0,1.248
M,494.0,Bryan,49,49,Spurs,35.0,1.415,35.0,1.41,35.0,1.467,35.0,1.414,35.0,1.501,35.0,0.419,35.0,1.494,35.0,1.381,35.0,0.846,35.0,1.63
F,287.0,Vinícius,46,46,Fulham,20.0,1.234,20.0,1.302,20.0,1.451,20.0,1.355,20.0,1.218,20.0,1.142,20.0,1.261,20.0,1.366,20.0,0.736,20.0,1.891
D,633.0,Livramento,44,44,Newcastle,45.0,1.245,45.0,1.255,45.0,1.494,45.0,1.432,45.0,1.379,45.0,1.231,45.0,1.414,45.0,1.255,45.0,0.732,45.0,1.379
D,588.0,Young,44,44,Everton,50.0,1.328,50.0,1.443,50.0,1.456,50.0,1.226,50.0,1.486,50.0,1.326,50.0,1.466,50.0,1.364,50.0,0.27,50.0,1.45
M,475.0,Berge,47,47,Burnley,50.0,1.416,50.0,1.232,50.0,1.339,50.0,1.232,50.0,1.242,50.0,1.322,50.0,1.339,50.0,1.314,50.0,1.125,50.0,1.25
M,300.0,Jones,49,49,Liverpool,30.0,1.439,30.0,1.336,30.0,1.3,30.0,1.599,30.0,2.476,30.0,0.178,30.0,1.518,30.0,1.302,30.0,0.296,30.0,1.362
M,525.0,Benrahma,56,56,West Ham,20.0,1.806,20.0,1.332,20.0,1.259,20.0,1.196,20.0,1.339,20.0,1.261,20.0,1.273,20.0,1.406,20.0,0.627,20.0,1.238
M,675.0,Ramsey,50,50,Burnley,42.0,1.392,42.0,1.233,42.0,1.318,42.0,1.235,42.0,1.236,42.0,1.316,42.0,1.327,42.0,1.304,42.0,1.107,42.0,1.251
D,10.0,Kiwior,43,43,Arsenal,35.0,1.323,35.0,1.356,35.0,1.264,35.0,1.307,35.0,1.369,35.0,1.279,35.0,1.375,35.0,1.275,35.0,0.765,35.0,1.259
M,142.0,Milner,48,48,Brighton,40.0,1.341,40.0,1.411,40.0,1.336,40.0,1.315,40.0,1.419,40.0,1.316,40.0,1.321,40.0,1.392,40.0,0.385,40.0,1.221
D,419.0,Lascelles,41,41,Newcastle,30.0,1.223,30.0,1.237,30.0,1.403,30.0,1.367,30.0,1.321,30.0,1.218,30.0,1.347,30.0,1.231,30.0,0.702,30.0,1.326
M,138.0,Lallana,49,49,Brighton,30.0,1.316,30.0,1.434,30.0,1.311,30.0,1.291,30.0,1.441,30.0,1.29,30.0,1.298,30.0,1.362,30.0,0.381,30.0,1.231
D,548.0,Bueno,44,44,Wolves,35.0,1.241,35.0,1.256,35.0,1.235,35.0,1.247,35.0,1.287,35.0,1.381,35.0,1.236,35.0,1.302,35.0,0.656,35.0,1.227
M,559.0,João Gomes,49,49,Wolves,50.0,1.225,50.0,1.247,50.0,1.219,50.0,1.238,50.0,1.258,50.0,1.365,50.0,1.218,50.0,1.286,50.0,0.646,50.0,1.208
M,9.0,Jorginho,53,53,Arsenal,30.0,1.25,30.0,1.28,30.0,1.192,30.0,1.233,30.0,1.293,30.0,1.204,30.0,1.3,30.0,1.207,30.0,0.721,30.0,1.173
D,247.0,Coleman,44,44,Everton,33.0,1.232,33.0,1.281,33.0,1.283,33.0,1.204,33.0,1.29,33.0,1.236,33.0,1.279,33.0,1.241,33.0,0.258,33.0,1.29
M,515.0,Skipp,46,46,Spurs,30.0,1.261,30.0,1.255,30.0,1.273,30.0,1.259,30.0,1.306,30.0,0.373,30.0,1.298,30.0,1.234,30.0,0.734,30.0,1.369
M,229.0,Hughes,49,49,Crystal Palace,45.0,1.112,45.0,1.256,45.0,1.134,45.0,1.136,45.0,1.157,45.0,1.23,45.0,1.162,45.0,1.257,45.0,0.602,45.0,1.216
M,432.0,Willock,53,53,Newcastle,20.0,1.083,20.0,1.092,20.0,1.362,20.0,1.236,20.0,1.209,20.0,1.082,20.0,1.21,20.0,1.138,20.0,0.634,20.0,1.193
M,282.0,Reed,45,45,Fulham,34.0,1.138,34.0,1.175,34.0,1.248,34.0,1.197,34.0,1.137,34.0,1.036,34.0,1.153,34.0,1.192,34.0,0.673,34.0,1.255
F,44.0,Durán,50,50,Aston Villa,4.0,0.859,4.0,0.926,4.0,2.013,4.0,0.93,4.0,0.923,4.0,1.159,4.0,2.003,4.0,0.922,4.0,0.472,4.0,0.973
M,394.0,Pellistri,43,43,Man Utd,24.0,1.203,24.0,1.212,24.0,1.203,24.0,1.099,24.0,1.365,24.0,1.091,24.0,1.086,24.0,1.197,24.0,0.528,24.0,1.159
M,499.0,Højbjerg,52,52,Spurs,45.0,1.216,45.0,1.214,45.0,1.235,45.0,1.219,45.0,1.267,45.0,0.362,45.0,1.26,45.0,1.198,45.0,0.711,45.0,1.335
D,36.0,Cash,47,47,Aston Villa,20.0,1.103,20.0,1.062,20.0,1.218,20.0,1.093,20.0,1.126,20.0,1.17,20.0,1.211,20.0,1.106,20.0,0.582,20.0,1.146
D,358.0,Lewis,43,43,Man City,14.0,1.032,14.0,1.142,14.0,1.046,14.0,1.079,14.0,1.782,14.0,1.092,14.0,1.076,14.0,1.234,14.0,0.326,14.0,1.007
D,436.0,Aurier,45,45,Nott'm Forest,27.0,1.075,27.0,1.056,27.0,1.131,27.0,1.071,27.0,1.132,27.0,1.062,27.0,1.057,27.0,1.081,27.0,0.909,27.0,1.142
M,4.0,Fábio Vieira,54,54,Arsenal,20.0,1.08,20.0,1.116,20.0,1.017,20.0,1.055,20.0,1.168,20.0,1.047,20.0,1.272,20.0,1.051,20.0,0.627,20.0,0.98
M,59.0,Traoré,50,50,Aston Villa,6.0,0.931,6.0,0.907,6.0,1.537,6.0,0.917,6.0,0.946,6.0,1.046,6.0,1.53,6.0,0.947,6.0,0.483,6.0,1.008
M,383.0,Mejbri,43,43,Man Utd,5.0,0.966,5.0,1.206,5.0,0.952,5.0,0.919,5.0,1.827,5.0,0.872,5.0,0.899,5.0,0.963,5.0,0.702,5.0,0.923
F,691.0,Beto,57,57,Everton,20.0,1.063,20.0,1.13,20.0,1.13,20.0,1.03,20.0,1.141,20.0,1.103,20.0,1.129,20.0,1.108,20.0,0.222,20.0,1.136
M,451.0,Kouyaté,48,48,Nott'm Forest,26.0,1.021,26.0,1.014,26.0,1.069,26.0,1.027,26.0,1.063,26.0,1.009,26.0,1.014,26.0,1.023,26.0,0.851,26.0,1.073
M,125.0,Buonanotte,47,47,Brighton,20.0,1.079,20.0,1.244,20.0,1.073,20.0,1.032,20.0,1.252,20.0,1.046,20.0,1.06,20.0,1.127,20.0,0.291,20.0,0.958
M,240.0,Schlupp,49,49,Crystal Palace,20.0,0.938,20.0,1.147,20.0,0.969,20.0,0.971,20.0,1.001,20.0,1.057,20.0,1.004,20.0,1.148,20.0,0.514,20.0,1.041
F,76.0,Moore,46,46,Bournemouth,5.0,0.856,5.0,0.868,5.0,1.041,5.0,1.102,5.0,0.981,5.0,0.963,5.0,0.925,5.0,1.684,5.0,0.466,5.0,0.883
F,8.0,Jesus,80,80,Arsenal,15.0,1.0,15.0,1.035,15.0,0.918,15.0,0.983,15.0,1.072,15.0,0.955,15.0,1.147,15.0,0.962,15.0,0.572,15.0,0.893
F,390.0,Martial,64,64,Man Utd,15.0,0.963,15.0,0.989,15.0,0.984,15.0,0.894,15.0,1.08,15.0,0.893,15.0,0.861,15.0,0.965,15.0,0.42,15.0,0.937
M,356.0,Kovacic,47,47,Man City,20.0,0.833,20.0,0.945,20.0,0.842,20.0,0.875,20.0,1.44,20.0,0.889,20.0,0.861,20.0,1.013,20.0,0.262,20.0,0.835
M,666.0,Davies,50,50,Sheffield Utd,17.0,0.921,17.0,0.911,17.0,0.867,17.0,0.961,17.0,0.897,17.0,0.917,17.0,0.886,17.0,0.914,17.0,0.336,17.0,0.929
D,281.0,Ream,45,45,Fulham,20.0,0.824,20.0,0.879,20.0,0.932,20.0,0.899,20.0,0.835,20.0,0.767,20.0,0.847,20.0,0.902,20.0,0.497,20.0,0.94
