ID,Name,Pos,Team,Price,38_fix,38_xmins,38_pts,38_g,38_a,38_cs,38_bon,38_dmins,38_likelihood
513,Lenglet,2,TOT,48,(A): LEE,79.36,2.118,0.03,0.03,0.168,0.086,79.36,1
514,C.Doucouré,3,CRY,50,(H): NFO,73.53,2.706,0.08,0.093,0.299,0.15,73.53,1
515,Lewis-Potter,3,BRE,52,(H): MCI,0,0,0,0,0,0,0,1
516,Collins,2,WOL,42,(A): ARS,47.5,0.836,0.018,0.013,0.037,0.023,47.5,1
517,Strakosha,1,BRE,43,(H): MCI,4.91,0.174,0,0,0.007,0.012,4.91,1
518,Hennessey,1,NFO,39,(A): CRY,88.86,3.162,0,0.006,0.131,0.229,88.86,1
519,Eriksen,3,MUN,62,(H): FUL,60.61,3.602,0.155,0.234,0.257,0.329,60.61,1
520,Koulibaly,2,CHE,55,(H): NEW,45.83,1.245,0.026,0.017,0.084,0.06,45.83,1
521,Francois,3,FUL,44,,0,0,0,0,0,0,,
522,Spence,2,TOT,41,,0,0,0,0,0,0,,
523,Toffolo,2,NFO,43,(A): CRY,14.68,0.479,0.007,0.014,0.013,0.016,14.68,1
524,O'Brien,3,NFO,47,,0,0,0,0,0,0,,
525,Augustinsson,2,AVL,43,,0,0,0,0,0,0,,
526,Mee,2,BRE,48,(H): MCI,79.81,2.001,0.055,0.027,0.115,0.098,79.81,1
527,Lingard,3,NFO,54,(A): CRY,1.88,0.151,0.003,0.004,0.002,0.003,1.88,1
528,Mara,4,SOU,53,(H): LIV,6.07,0.416,0.017,0.008,0,0.021,6.07,1
529,Scamacca,4,WHU,66,(A): LEI,0,0,0,0,0,0,0,1
530,Richards,2,CRY,44,(H): NFO,35.32,1.623,0.035,0.018,0.129,0.14,35.32,1
531,Vinagre,2,EVE,43,(H): BOU,0,0,0,0,0,0,0,1
532,Mbabu,2,FUL,43,,0,0,0,0,0,0,,
533,Martínez,2,MUN,44,(H): FUL,0,0,0,0,0,0,0,1
534,McNeil,3,EVE,52,(H): BOU,80.62,4.15,0.175,0.252,0.36,0.382,80.62,1
535,Tavernier,3,BOU,47,(A): EVE,0,0,0,0,0,0,0,1
536,Mangala,3,NFO,49,(A): CRY,70.48,2.085,0.031,0.048,0.12,0.077,70.48,1
537,Kesler Hayden,2,AVL,40,,0,0,0,0,0,0,,
538,Young,2,AVL,43,(H): BHA,48.43,1.942,0.032,0.076,0.117,0.126,48.43,1
539,Hill,2,BOU,44,,0,0,0,0,0,0,,
540,Stevens,2,BRE,40,,0,0,0,0,0,0,,
541,Dervişoğlu,4,BRE,45,,0,0,0,0,0,0,,
542,Scherpen,1,BHA,40,,0,0,0,0,0,0,,
543,Clarke,2,BHA,40,,0,0,0,0,0,0,,
544,Van Hecke,2,BHA,40,(A): AVL,16.09,0.435,0.008,0.007,0.021,0.017,16.09,1
545,Emerson,2,WHU,40,(A): LEI,32.84,1.046,0.009,0.031,0.055,0.032,32.84,1
546,Harris,3,FUL,43,(A): MUN,0,0,0,0,0,0,0,1
547,Drameh,2,LEE,40,,0,0,0,0,0,0,,
548,Iversen,1,LEI,39,(H): WHU,87.69,3.423,0,0.002,0.247,0.249,87.69,1
549,Praet,3,LEI,48,(H): WHU,26.92,1.379,0.041,0.054,0.053,0.076,26.92,1
550,Amad,3,MUN,44,,0,0,0,0,0,0,,
551,Iqbal,3,MUN,42,(H): FUL,1.45,0.092,0.002,0.002,0.001,0.003,1.45,1
552,Anderson,3,NEW,43,(A): CHE,50.61,1.816,0.048,0.048,0.125,0.082,50.61,1
553,Hammond,3,NFO,42,(A): CRY,0,0,0,0,0,0,0,1
554,Bryan,3,TOT,50,,0,0,0,0,0,0,,
555,Ashby,2,NEW,38,(A): CHE,6.47,0.188,0.002,0.005,0.005,0.01,6.47,1
556,Coventry,3,WHU,44,,0,0,0,0,0,0,,
557,Smith,1,WOL,39,,0,0,0,0,0,0,,
558,Bueno,2,WOL,38,(A): ARS,40.76,1,0.008,0.033,0.033,0.024,40.76,1
559,Colwill,2,BHA,44,(A): AVL,56.56,1.451,0.022,0.024,0.092,0.07,56.56,1
560,Mills,3,EVE,43,(H): BOU,4.31,0.257,0.007,0.006,0.003,0.011,4.31,1
561,Warrington,3,EVE,44,,0,0,0,0,0,0,,
562,Solomon,3,FUL,49,(A): MUN,27.93,1.245,0.028,0.039,0.024,0.053,27.93,1
563,Chambers,2,LIV,40,,0,0,0,0,0,0,,
564,Bajcetic,3,LIV,43,(A): SOU,0,0,0,0,0,0,0,1
565,Gray,3,LEE,45,(H): TOT,0,0,0,0,0,0,0,1
566,Hodge,3,WOL,43,(A): ARS,0,0,0,0,0,0,0,1
567,Ronan,3,WOL,44,,0,0,0,0,0,0,,
568,Campbell,3,WOL,44,,0,0,0,0,0,0,,
569,Garnacho,3,MUN,41,(H): FUL,33.68,1.937,0.076,0.091,0.1,0.135,73.68,1
570,Garner,3,EVE,45,(H): BOU,64.07,2.86,0.097,0.172,0.269,0.193,64.07,1
571,Randolph,1,BOU,40,(A): EVE,0,0,0,0,0,0,0,1
572,Oko-Flex,3,WHU,44,,0,0,0,0,0,0,,
573,Lewis,2,MCI,38,(A): BRE,42.3,1.753,0.018,0.048,0.133,0.112,42.3,1
574,Neto,1,BOU,45,(A): EVE,88.61,3.118,0,0.002,0.113,0.236,88.61,1
575,Cornet,3,WHU,59,(A): LEI,25.9,1.297,0.041,0.044,0.034,0.058,25.9,1
576,Senesi,2,BOU,44,(A): EVE,43.04,1.015,0.017,0.009,0.057,0.035,43.04,1
577,Onana,3,EVE,47,(H): BOU,47.97,2.258,0.108,0.076,0.191,0.123,47.97,1
578,Robles,1,LEE,40,(H): TOT,85.32,3.057,0,0.003,0.149,0.202,85.32,1
579,Guedes,3,WOL,58,,0,0,0,0,0,0,,
580,Damsgaard,3,BRE,50,(H): MCI,42.82,1.951,0.077,0.074,0.066,0.081,42.82,1
581,Smithies,1,LEI,39,(H): WHU,1.58,0.063,0,0,0.004,0.005,1.58,1
582,Freuler,3,NFO,49,(A): CRY,21.28,0.804,0.013,0.016,0.021,0.025,21.28,1
583,Kouyaté,3,NFO,44,(A): CRY,30.39,1.184,0.019,0.017,0.039,0.047,30.39,1
584,Clark,3,LIV,45,(A): SOU,0,0,0,0,0,0,0,1
585,Dennis,4,NFO,56,(A): CRY,6.3,0.421,0.015,0.01,0,0.026,6.3,1
586,Estupiñán,2,BHA,50,(A): AVL,76.48,2.283,0.042,0.091,0.139,0.122,76.48,1
