Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
M,299.0,Henderson,50,50,Liverpool,58.86,1.845,58.86,2.11,58.86,1.718,58.86,1.854,58.86,2.035,58.86,1.978
F,523.0,Antonio,60,60,West Ham,55.21,2.048,55.21,1.892,55.21,1.748,55.21,2.116,55.21,1.721,55.21,1.754
F,119.0,Wissa,60,60,Brentford,41.76,1.89,41.76,1.899,41.76,1.841,41.76,1.996,41.76,1.675,41.76,1.923
M,295.0,Elliott,50,50,Liverpool,50.0,1.73,50.0,1.919,50.0,1.645,50.0,1.734,50.0,1.907,50.0,1.812
M,66.0,Cook,50,50,Bournemouth,61.14,1.882,61.14,1.697,61.14,1.866,61.14,1.759,61.14,1.806,61.14,1.698
F,225.0,Edouard,55,55,Crystal Palace,51.09,1.878,51.09,1.606,51.09,1.714,51.09,1.875,51.09,1.714,51.09,1.799
M,65.0,Christie,50,50,Bournemouth,57.03,1.829,57.03,1.672,57.03,1.817,57.03,1.736,57.03,1.766,57.03,1.683
M,99.0,Dasilva,50,50,Brentford,38.08,1.722,38.08,1.737,38.08,1.663,38.08,1.8,38.08,1.565,38.08,1.756
F,535.0,Ings,60,60,West Ham,45.11,1.856,45.11,1.689,45.11,1.549,45.11,1.927,45.11,1.524,45.11,1.557
D,467.0,N.Williams,45,45,Nott'm Forest,60.39,1.232,60.39,2.287,60.39,1.369,60.39,1.515,60.39,2.198,60.39,1.107
D,42.0,Digne,45,45,Aston Villa,53.29,1.349,53.29,1.811,53.29,1.824,53.29,1.349,53.29,1.684,53.29,1.559
M,412.0,Gordon,55,55,Newcastle,49.19,1.617,49.19,1.471,49.19,1.523,49.19,1.5,49.19,1.623,49.19,1.803
M,578.0,Nelson,50,50,Arsenal,15.0,1.963,15.0,1.464,15.0,1.545,15.0,1.458,15.0,1.614,15.0,1.475
M,453.0,Mangala,50,50,Nott'm Forest,57.15,1.449,57.15,1.688,57.15,1.474,57.15,1.501,57.15,1.672,57.15,1.428
M,534.0,Fornals,50,50,West Ham,46.66,1.678,46.66,1.475,46.66,1.405,46.66,1.783,46.66,1.383,46.66,1.412
M,202.0,Gallagher,55,55,Chelsea,45.94,1.265,45.94,1.428,45.94,1.637,45.94,1.524,45.94,1.526,45.94,1.33
F,149.0,Undav,55,55,Brighton,15.0,1.829,15.0,1.439,15.0,1.38,15.0,1.126,15.0,1.162,15.0,1.425
M,583.0,Solomon,55,55,Spurs,15.0,1.242,15.0,1.17,15.0,1.443,15.0,1.449,15.0,1.848,15.0,1.124
M,59.0,Traoré,50,50,Aston Villa,15.0,1.278,15.0,1.448,15.0,1.501,15.0,1.276,15.0,1.348,15.0,1.329
M,130.0,Enciso,55,55,Brighton,15.0,1.768,15.0,1.249,15.0,1.188,15.0,1.079,15.0,1.122,15.0,1.238
F,207.0,Lukaku,70,70,Chelsea,15.0,1.025,15.0,1.113,15.0,1.626,15.0,1.187,15.0,1.182,15.0,1.097
F,132.0,Ferguson,60,60,Brighton,15.0,1.546,15.0,1.15,15.0,1.114,15.0,0.953,15.0,0.998,15.0,1.14
M,382.0,Garnacho,50,50,Man Utd,15.0,1.13,15.0,1.186,15.0,1.124,15.0,1.133,15.0,1.146,15.0,1.166
M,549.0,Chiquinho,45,45,Wolves,15.0,1.066,15.0,1.045,15.0,1.165,15.0,1.133,15.0,1.044,15.0,1.292
M,303.0,Luis Díaz,75,75,Liverpool,15.0,1.1,15.0,1.182,15.0,1.038,15.0,1.107,15.0,1.193,15.0,1.125
F,390.0,Martial,65,65,Man Utd,15.0,1.125,15.0,1.153,15.0,1.117,15.0,1.07,15.0,1.082,15.0,1.153
M,294.0,Diogo Jota,80,80,Liverpool,15.0,1.055,15.0,1.168,15.0,0.965,15.0,1.064,15.0,1.177,15.0,1.114
M,423.0,Murphy,50,50,Newcastle,15.0,1.093,15.0,1.007,15.0,1.053,15.0,1.03,15.0,1.093,15.0,1.23
M,124.0,Ayari,45,45,Brighton,15.0,1.265,15.0,1.069,15.0,1.041,15.0,0.925,15.0,1.017,15.0,1.042
M,557.0,Hwang,55,55,Wolves,15.0,0.96,15.0,0.974,15.0,1.046,15.0,0.998,15.0,0.977,15.0,1.162
F,287.0,Vinícius,50,50,Fulham,15.0,0.996,15.0,0.942,15.0,0.884,15.0,0.865,15.0,1.417,15.0,0.949
F,264.0,Simms,45,45,Everton,15.0,0.977,15.0,0.937,15.0,0.995,15.0,1.31,15.0,0.896,15.0,0.937
M,138.0,Lallana,50,50,Brighton,15.0,1.114,15.0,1.016,15.0,0.977,15.0,0.913,15.0,0.916,15.0,1.007
F,1.0,Balogun,45,45,Arsenal,15.0,0.923,15.0,0.985,15.0,1.012,15.0,0.974,15.0,0.997,15.0,0.987
F,13.0,Nketiah,55,55,Arsenal,15.0,0.875,15.0,1.003,15.0,1.014,15.0,0.97,15.0,1.007,15.0,1.003
M,362.0,Palmer,50,50,Man City,15.0,1.038,15.0,0.869,15.0,1.048,15.0,0.939,15.0,0.925,15.0,1.0
G,361.0,Ortega,40,40,Man City,15.0,0.958,15.0,0.928,15.0,0.958,15.0,0.984,15.0,0.934,15.0,0.977
F,193.0,Broja,50,50,Chelsea,15.0,0.865,15.0,0.928,15.0,1.054,15.0,0.965,15.0,0.963,15.0,0.912
M,300.0,Jones,50,50,Liverpool,15.0,0.91,15.0,1.001,15.0,0.867,15.0,0.916,15.0,1.007,15.0,0.947
M,22.0,Smith Rowe,55,55,Arsenal,15.0,1.041,15.0,0.887,15.0,0.926,15.0,0.949,15.0,0.926,15.0,0.914
D,241.0,Tomkins,40,40,Crystal Palace,15.0,0.99,15.0,0.894,15.0,0.914,15.0,0.975,15.0,0.913,15.0,0.951
M,4.0,Fábio Vieira,55,55,Arsenal,15.0,0.988,15.0,0.908,15.0,0.944,15.0,0.898,15.0,0.932,15.0,0.924
M,403.0,Anderson,45,45,Newcastle,15.0,0.965,15.0,0.855,15.0,0.893,15.0,0.862,15.0,0.965,15.0,1.044
D,514.0,R.Sessegnon,45,45,Spurs,15.0,0.881,15.0,0.876,15.0,0.989,15.0,1.001,15.0,1.005,15.0,0.832
F,232.0,Mateta,50,50,Crystal Palace,15.0,0.959,15.0,0.861,15.0,0.92,15.0,0.963,15.0,0.92,15.0,0.944
D,206.0,James,55,55,Chelsea,15.0,0.831,15.0,0.893,15.0,1.028,15.0,0.973,15.0,0.971,15.0,0.865
M,442.0,Danilo,55,55,Nott'm Forest,15.0,0.868,15.0,1.011,15.0,0.877,15.0,0.906,15.0,1.007,15.0,0.845
F,558.0,Jiménez,55,55,Wolves,15.0,0.865,15.0,0.862,15.0,0.942,15.0,0.903,15.0,0.868,15.0,1.055
D,346.0,Cancelo,60,60,Man City,15.0,0.973,15.0,0.809,15.0,0.983,15.0,0.887,15.0,0.877,15.0,0.951
M,567.0,Neto,55,55,Wolves,15.0,0.837,15.0,0.846,15.0,0.92,15.0,0.872,15.0,0.853,15.0,1.131
M,378.0,Elanga,50,50,Man Utd,15.0,0.973,15.0,0.887,15.0,0.965,15.0,0.809,15.0,0.822,15.0,0.996
F,538.0,Mubama,45,45,West Ham,15.0,0.921,15.0,0.895,15.0,0.84,15.0,1.09,15.0,0.853,15.0,0.848
M,16.0,Pépé,50,50,Arsenal,15.0,0.959,15.0,0.883,15.0,0.908,15.0,0.852,15.0,0.915,15.0,0.896
M,503.0,Lo Celso,50,50,Spurs,15.0,0.844,15.0,0.845,15.0,0.938,15.0,0.962,15.0,1.019,15.0,0.801
F,541.0,Scamacca,60,60,West Ham,15.0,0.954,15.0,0.897,15.0,0.838,15.0,1.033,15.0,0.815,15.0,0.841
M,509.0,Richarlison,70,70,Spurs,15.0,0.855,15.0,0.836,15.0,0.946,15.0,0.965,15.0,0.985,15.0,0.785
D,506.0,Pedro Porro,50,50,Spurs,15.0,0.829,15.0,0.811,15.0,0.933,15.0,0.952,15.0,1.008,15.0,0.784
