Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,199.0,Enzo,49,49,Chelsea,85.0,4.37,85.0,3.547,85.0,4.026,85.0,3.673,85.0,3.398,85.0,3.373,85.0,3.712,85.0,3.702,85.0,3.988,85.0,4.871,85.0,4.239,85.0,4.05
D,407.0,Burn,45,45,Newcastle,80.0,3.599,80.0,4.194,80.0,3.889,80.0,3.019,80.0,3.923,80.0,3.639,80.0,3.875,80.0,3.736,80.0,3.223,80.0,4.506,80.0,4.21,80.0,4.968
F,293.0,Darwin,74,74,Liverpool,55.0,3.387,55.0,3.692,55.0,4.085,55.0,5.001,55.0,3.55,55.0,3.411,55.0,3.766,55.0,5.026,55.0,3.491,55.0,3.559,55.0,3.454,55.0,4.302
M,249.0,A.Doucouré,55,55,Everton,83.0,4.305,83.0,3.495,83.0,4.024,83.0,3.66,83.0,3.958,83.0,4.039,83.0,4.174,83.0,3.59,83.0,3.866,83.0,4.265,83.0,3.794,83.0,3.468
D,220.0,Andersen,47,47,Crystal Palace,85.0,4.865,85.0,2.876,85.0,3.758,85.0,4.411,85.0,4.464,85.0,4.48,85.0,3.885,85.0,4.915,85.0,3.25,85.0,2.343,85.0,3.477,85.0,3.197
G,49.0,Martínez,49,49,Aston Villa,89.0,3.852,89.0,4.044,89.0,4.922,89.0,3.865,89.0,4.183,89.0,3.285,89.0,3.949,89.0,2.805,89.0,3.355,89.0,3.331,89.0,4.927,89.0,3.374
M,539.0,Paquetá,60,60,West Ham,86.0,3.485,86.0,3.576,86.0,4.066,86.0,3.547,86.0,4.262,86.0,4.039,86.0,3.823,86.0,3.539,86.0,3.888,86.0,4.251,86.0,3.722,86.0,3.382
G,77.0,Neto,45,45,Bournemouth,89.0,3.537,89.0,4.189,89.0,4.544,89.0,2.548,89.0,3.21,89.0,4.164,89.0,3.412,89.0,3.497,89.0,3.338,89.0,4.644,89.0,3.821,89.0,4.047
G,520.0,Vicario,51,51,Spurs,89.0,4.128,89.0,4.241,89.0,3.676,89.0,3.593,89.0,3.913,89.0,3.646,89.0,2.795,89.0,4.06,89.0,3.27,89.0,3.926,89.0,4.153,89.0,3.209
F,523.0,Antonio,59,59,West Ham,75.0,3.361,75.0,3.626,75.0,3.72,75.0,3.631,75.0,3.912,75.0,3.92,75.0,3.791,75.0,3.455,75.0,3.884,75.0,3.924,75.0,3.715,75.0,3.461
D,506.0,Pedro Porro,50,50,Spurs,76.0,4.362,76.0,4.364,76.0,3.628,76.0,3.466,76.0,4.071,76.0,3.477,76.0,2.255,76.0,4.11,76.0,3.051,76.0,4.123,76.0,4.3,76.0,2.974
F,119.0,Wissa,60,60,Brentford,75.0,3.967,75.0,4.309,75.0,3.82,75.0,4.154,75.0,3.532,75.0,3.783,75.0,4.367,75.0,3.545,75.0,4.371,75.0,3.972,0.0,0.0,75.0,4.275
M,303.0,Luis Díaz,75,75,Liverpool,62.0,3.119,62.0,3.661,62.0,4.005,62.0,4.706,62.0,3.375,62.0,2.948,62.0,3.695,62.0,4.726,62.0,3.347,62.0,3.392,62.0,3.167,62.0,3.913
D,305.0,Matip,49,49,Liverpool,75.0,2.752,75.0,4.414,75.0,4.695,75.0,4.063,75.0,3.712,75.0,2.121,75.0,4.277,75.0,4.1,75.0,3.266,75.0,3.732,75.0,2.886,75.0,3.935
M,140.0,March,64,64,Brighton,63.0,3.31,63.0,3.172,63.0,3.871,63.0,3.702,63.0,4.721,63.0,3.823,63.0,3.396,63.0,3.529,63.0,3.951,63.0,3.367,63.0,3.554,63.0,3.482
G,569.0,Sá,50,50,Wolves,89.0,3.453,89.0,3.727,89.0,3.186,89.0,4.148,89.0,3.546,89.0,3.646,89.0,3.048,89.0,4.539,89.0,4.299,89.0,3.529,89.0,3.397,89.0,3.303
D,584.0,Pau,45,45,Aston Villa,78.0,3.778,78.0,3.888,78.0,4.913,78.0,3.791,78.0,4.114,78.0,3.059,78.0,3.844,78.0,2.325,78.0,2.972,78.0,3.063,78.0,4.938,78.0,3.107
D,31.0,Zinchenko,49,49,Arsenal,75.0,2.463,75.0,3.029,75.0,5.302,75.0,2.668,75.0,5.079,75.0,3.193,75.0,4.726,75.0,4.259,75.0,2.923,75.0,3.203,75.0,2.684,75.0,4.221
D,20.0,Saliba,52,52,Arsenal,85.0,2.423,85.0,2.978,85.0,5.369,85.0,2.61,85.0,5.141,85.0,3.182,85.0,4.766,85.0,4.279,85.0,2.909,85.0,3.175,85.0,2.624,85.0,4.25
F,437.0,Awoniyi,66,66,Nott'm Forest,75.0,3.614,75.0,4.653,75.0,3.173,75.0,3.533,75.0,3.664,75.0,3.222,75.0,3.655,75.0,3.815,75.0,3.843,75.0,3.458,75.0,3.865,75.0,3.171
F,246.0,Calvert-Lewin,58,58,Everton,72.0,3.992,72.0,3.43,72.0,3.69,72.0,3.488,72.0,3.553,72.0,3.628,72.0,3.915,72.0,3.442,72.0,3.561,72.0,3.969,72.0,3.554,72.0,3.408
D,197.0,Colwill,45,45,Chelsea,82.0,4.232,82.0,3.242,82.0,3.766,82.0,3.266,82.0,2.549,82.0,2.747,82.0,3.321,82.0,3.351,82.0,3.762,82.0,5.12,82.0,4.029,82.0,4.044
M,43.0,Douglas Luiz,54,54,Aston Villa,80.0,3.904,80.0,3.895,80.0,4.229,80.0,3.717,80.0,3.844,80.0,2.933,80.0,3.921,80.0,2.814,80.0,3.292,80.0,3.155,80.0,4.251,80.0,3.162
