"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"141","T Chalobah","DEF","CHE","4.9","0.86","20.53","0.90","20.53","0.86","18.00","0.72","15.79","0.77","15.79","27.21"
"163","W Hughes","MID","CRY","5","0.86","23.21","1.02","23.21","0.85","23.21","1.06","23.21","0.94","23.21","36.75"
"183","Allan","MID","EVE","5","0.85","22.11","0.60","12.89","0.56","12.89","0.56","12.89","0.53","12.89","20.89"
"223","Klich","MID","LEE","5","0.83","15.16","0.58","11.05","0.59","11.05","0.66","11.05","0.61","11.05","22.73"
"136","Loftus-Cheek","MID","CHE","5","0.81","16.84","0.83","14.74","0.84","14.74","0.69","11.79","0.57","9.47","21.52"
"148","Gallagher","MID","CHE","6","0.79","14.74","0.87","14.74","0.89","14.74","0.87","14.74","0.86","14.74","30.69"
"61","Lowe","MID","BOU","5.5","0.79","13.82","0.90","13.82","0.80","13.82","0.97","13.82","0.95","13.82","33.80"
"156","J Ward","DEF","CRY","4.5","0.78","36.83","1.39","35.00","0.70","35.00","1.39","33.16","1.13","33.16","43.69"
"414","Valery","DEF","SOU","4","0.78","16.84","0.63","16.84","0.66","16.84","0.64","16.84","0.73","16.84","25.38"
"267","Soyuncu","DEF","LEI","4.5","0.77","30.95","1.21","30.95","0.75","30.95","0.96","30.95","0.97","30.95","36.85"
"257","Amartey","DEF","LEI","4.5","0.77","32.00","1.18","32.00","0.74","32.00","0.81","27.63","0.70","22.74","23.03"
"12","Smith Rowe","MID","ARS","5.9","0.77","8.42","1.62","22.11","2.10","27.79","1.92","27.79","1.72","27.79","67.37"
"579","Guedes","MID","WOL","6","0.76","11.05","1.34","28.42","1.92","37.79","2.52","48.50","2.70","46.83","70.28"
"393","Mbe Soh","DEF","NFO","4.5","0.75","18.95","0.21","4.74","0.04","0.79","0.03","0.79","0.05","0.79","2.41"
"90","Roerslev","DEF","BRE","4.5","0.72","16.58","0.48","9.21","0.31","4.74","0.27","4.74","0.29","4.74","10.51"
"83","Dasilva","MID","BRE","4.5","0.71","12.63","0.72","12.63","0.76","12.63","0.69","12.63","0.79","12.63","26.28"
"370","S Longstaff","MID","NEW","4.5","0.70","11.84","0.67","11.84","0.72","11.84","0.65","11.84","0.74","11.84","26.66"
"144","Hudson-Odoi","MID","CHE","5.5","0.69","11.05","0.77","11.05","0.78","11.05","0.76","11.05","0.76","11.05","27.01"
"218","Muniz","FWD","FUL","5.5","0.69","11.05","0.76","11.05","0.55","9.47","0.51","7.89","0.36","6.32","15.78"
"538","Young","DEF","AVL","4.5","0.63","9.21","0.57","9.21","0.58","9.21","0.49","9.21","0.46","9.21","20.54"
"0","Gueye","MID","EVE","3","0.63","14.74","1.64","38.21","1.71","46.36","1.78","46.36","1.53","46.36","61.87"
"224","Forshaw","MID","LEE","4.5","0.63","13.47","0.82","19.34","0.83","19.34","0.90","19.34","0.85","19.34","31.04"
"337","Lindelof","DEF","MUN","4.5","0.59","16.84","0.45","16.84","0.59","16.84","0.52","16.84","0.57","16.84","21.80"
